2015-09-01 18:12:31,899 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2015-09-01 18:12:31,905 [      6]   INFO -        #com.intellij.idea.Main - IDE: IntelliJ IDEA (build #IC-141.1532.4, 18 Jun 2015 00:00) 
2015-09-01 18:12:31,905 [      6]   INFO -        #com.intellij.idea.Main - OS: Windows 7 (6.1, x86) 
2015-09-01 18:12:31,905 [      6]   INFO -        #com.intellij.idea.Main - JRE: 1.8.0_40-b26 (Oracle Corporation) 
2015-09-01 18:12:31,905 [      6]   INFO -        #com.intellij.idea.Main - JVM: 25.40-b25 (Java HotSpot(TM) Server VM) 
2015-09-01 18:12:31,907 [      8]   INFO -        #com.intellij.idea.Main - JVM Args: -Xms128m -Xmx512m -XX:MaxPermSize=250m -XX:ReservedCodeCacheSize=150m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -Djb.vmOptions=C:\Program Files (x86)\JetBrains\IntelliJ IDEA Community Edition 14.1.4\bin\idea.exe.vmoptions -Xbootclasspath/a:C:\Program Files (x86)\JetBrains\IntelliJ IDEA Community Edition 14.1.4\lib\boot.jar -Didea.paths.selector=IdeaIC14 
2015-09-01 18:12:32,031 [    132]   INFO -        #com.intellij.idea.Main - JNA library loaded (32-bit) in 124 ms 
2015-09-01 18:12:32,034 [    135]   INFO - penapi.util.io.win32.IdeaWin32 - Native filesystem for Windows is operational 
2015-09-01 18:12:32,034 [    135]   INFO -        #com.intellij.idea.Main - Using "FocusKiller" library to prevent focus stealing. 
2015-09-01 18:12:51,419 [  19520]   INFO - llij.ide.plugins.PluginManager - 29 plugins initialized in 411 ms 
2015-09-01 18:12:51,424 [  19525]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: Android Support (10.1.1.0), Ant Support (1.0), Bytecode Viewer (0.1), CVS Integration (11), Copyright (8.1), Coverage, Eclipse Integration (3.0), EditorConfig (1.0), Git Integration (8.1), GitHub, Gradle, Groovy (9.0), I18n for Java, IDEA CORE, IntelliLang (8.0), JUnit (1.0), Java Bytecode Decompiler (0.1), JavaFX (1.0), Maven Integration, Plugin DevKit (1.0), Properties Support, Subversion Integration (1.1), Task Management (1.0), Terminal (0.1), TestNG-J (8.0), UI Designer, XPathView + XSLT Support (4), XSLT-Debugger (1.4), hg4idea (10.0) 
2015-09-01 18:12:52,116 [  20217]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted 
2015-09-01 18:12:52,120 [  20221]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=200; buffer=10; max=498008064 
2015-09-01 18:12:52,180 [  20281]   INFO - api.vfs.impl.local.FileWatcher - Starting file watcher: C:\Program Files (x86)\JetBrains\IntelliJ IDEA Community Edition 14.1.4\bin\fsnotifier.exe 
2015-09-01 18:12:52,217 [  20318]   INFO - api.vfs.impl.local.FileWatcher - Native file watcher is operational. 
2015-09-01 18:12:52,519 [  20620]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 5), rebuilding... 
2015-09-01 18:12:52,519 [  20620]   INFO - .history.utils.LocalHistoryLog - FS has been rebuild, rebuilding local history... 
2015-09-01 18:12:53,222 [  21323]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63342 
2015-09-01 18:12:53,918 [  22019]   INFO -                  TestNG Runner - Create TestNG Template Configuration 
2015-09-01 18:12:54,018 [  22119]   INFO - ellij.project.impl.ProjectImpl - 20 project components initialized in 534 ms 
2015-09-01 18:12:54,019 [  22120]   INFO - le.impl.ModuleManagerComponent - 0 module(s) loaded in 0 ms 
2015-09-01 18:12:54,504 [  22605]   INFO - tellij.xml.Html5SchemaProvider - HTML5_SCHEMA_LOCATION = C:/Program Files (x86)/JetBrains/IntelliJ IDEA Community Edition 14.1.4/lib/idea.jar!/resources/html5-schema/html5.rnc 
2015-09-01 18:12:54,504 [  22605]   INFO - tellij.xml.Html5SchemaProvider - XHTML5_SCHEMA_LOCATION = C:/Program Files (x86)/JetBrains/IntelliJ IDEA Community Edition 14.1.4/lib/idea.jar!/resources/html5-schema/xhtml5.rnc 
2015-09-01 18:12:54,504 [  22605]   INFO - tellij.xml.Html5SchemaProvider - CHARS_DTD_LOCATION = C:/Program Files (x86)/JetBrains/IntelliJ IDEA Community Edition 14.1.4/lib/idea.jar!/resources/html5-schema/html5chars.ent 
2015-09-01 18:12:54,646 [  22747]   INFO - pl.stores.ApplicationStoreImpl - 83 application components initialized in 3165 ms 
2015-09-01 18:12:54,661 [  22762]   INFO - .intellij.idea.IdeaApplication - App initialization took 40479 ms 
2015-09-01 18:13:02,157 [  30258]   INFO - ellij.concurrency.JobScheduler - 50 ms execution limit failed for: com.intellij.openapi.progress.impl.CoreProgressManager$1@f9b792; elapsed time was 88ms 
2015-09-01 18:13:12,912 [  41013]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
2015-09-01 18:13:12,912 [  41013]   INFO - Types.impl.FileTypeManagerImpl - FileTypeManager: 0 auto-detected files
Elapsed time on auto-detect: 0 ms 
2015-09-01 18:13:12,923 [  41024]   INFO - dea.ddms.adb.AdbService$Ddmlib - DDMLib terminated 
2015-09-01 18:13:12,924 [  41025]   INFO - il.indexing.FileBasedIndexImpl - START INDEX SHUTDOWN 
2015-09-01 18:13:12,956 [  41057]   INFO - il.indexing.FileBasedIndexImpl - END INDEX SHUTDOWN 
2015-09-01 18:13:12,956 [  41057]   INFO - stubs.SerializationManagerImpl - START StubSerializationManager SHUTDOWN 
2015-09-01 18:13:12,956 [  41057]   INFO - stubs.SerializationManagerImpl - END StubSerializationManager SHUTDOWN 
2015-09-01 18:13:13,105 [  41206]   WARN - api.vfs.impl.local.FileWatcher - Watcher terminated with exit code 0 
2015-09-01 18:13:13,107 [  41208]   INFO - newvfs.persistent.PersistentFS - VFS dispose started 
2015-09-01 18:13:13,120 [  41221]   INFO - newvfs.persistent.PersistentFS - VFS dispose completed 
2015-09-01 18:13:13,126 [  41227]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE SHUTDOWN ------------------------------------------------------ 
2015-09-01 18:39:58,058 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2015-09-01 18:39:58,178 [    120]   INFO -        #com.intellij.idea.Main - IDE: IntelliJ IDEA (build #IC-141.1532.4, 18 Jun 2015 00:00) 
2015-09-01 18:39:58,179 [    121]   INFO -        #com.intellij.idea.Main - OS: Windows 7 (6.1, x86) 
2015-09-01 18:39:58,179 [    121]   INFO -        #com.intellij.idea.Main - JRE: 1.8.0_40-b26 (Oracle Corporation) 
2015-09-01 18:39:58,179 [    121]   INFO -        #com.intellij.idea.Main - JVM: 25.40-b25 (Java HotSpot(TM) Server VM) 
2015-09-01 18:39:58,180 [    122]   INFO -        #com.intellij.idea.Main - JVM Args: -Xms128m -Xmx512m -XX:MaxPermSize=250m -XX:ReservedCodeCacheSize=150m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -Djb.vmOptions=C:\Program Files (x86)\JetBrains\IntelliJ IDEA Community Edition 14.1.4\bin\idea.exe.vmoptions -Xbootclasspath/a:C:\Program Files (x86)\JetBrains\IntelliJ IDEA Community Edition 14.1.4\lib\boot.jar -Didea.paths.selector=IdeaIC14 
2015-09-01 18:39:58,285 [    227]   INFO -        #com.intellij.idea.Main - JNA library loaded (32-bit) in 105 ms 
2015-09-01 18:39:58,287 [    229]   INFO - penapi.util.io.win32.IdeaWin32 - Native filesystem for Windows is operational 
2015-09-01 18:39:58,288 [    230]   INFO -        #com.intellij.idea.Main - Using "FocusKiller" library to prevent focus stealing. 
2015-09-01 18:40:00,429 [   2371]   INFO - llij.ide.plugins.PluginManager - 29 plugins initialized in 842 ms 
2015-09-01 18:40:00,434 [   2376]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: Android Support (10.1.1.0), Ant Support (1.0), Bytecode Viewer (0.1), CVS Integration (11), Copyright (8.1), Coverage, Eclipse Integration (3.0), EditorConfig (1.0), Git Integration (8.1), GitHub, Gradle, Groovy (9.0), I18n for Java, IDEA CORE, IntelliLang (8.0), JUnit (1.0), Java Bytecode Decompiler (0.1), JavaFX (1.0), Maven Integration, Plugin DevKit (1.0), Properties Support, Subversion Integration (1.1), Task Management (1.0), Terminal (0.1), TestNG-J (8.0), UI Designer, XPathView + XSLT Support (4), XSLT-Debugger (1.4), hg4idea (10.0) 
2015-09-01 18:40:01,130 [   3072]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=200; buffer=10; max=498008064 
2015-09-01 18:40:01,169 [   3111]   INFO - api.vfs.impl.local.FileWatcher - Starting file watcher: C:\Program Files (x86)\JetBrains\IntelliJ IDEA Community Edition 14.1.4\bin\fsnotifier.exe 
2015-09-01 18:40:01,183 [   3125]   INFO - api.vfs.impl.local.FileWatcher - Native file watcher is operational. 
2015-09-01 18:40:01,869 [   3811]   INFO - lij.diagnostic.DebugLogManager - Set DEBUG for the following categories: [] 
2015-09-01 18:40:02,372 [   4314]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63342 
2015-09-01 18:40:03,086 [   5028]   INFO -                  TestNG Runner - Create TestNG Template Configuration 
2015-09-01 18:40:03,142 [   5084]   INFO - ellij.project.impl.ProjectImpl - 20 project components initialized in 552 ms 
2015-09-01 18:40:03,143 [   5085]   INFO - le.impl.ModuleManagerComponent - 0 module(s) loaded in 0 ms 
2015-09-01 18:40:03,550 [   5492]   INFO - pl.stores.ApplicationStoreImpl - 83 application components initialized in 3076 ms 
2015-09-01 18:40:03,568 [   5510]   INFO - .intellij.idea.IdeaApplication - App initialization took 6316 ms 
